created_at,user_id_str,id_str,lang,location,description,full_text,user_screen_name,user_name,followers_count,normal_followers_count,fast_followers_count,favourites_count,friends_count,media_count,statuses_count,retweeted,retweet_count,favorited,favorite_count
Sun Mar 11 14:04:19 +0000 2018,828037499062718465,972835615724244992,qme,"born New Jersey live Miami, FL","America first, veterans first. Patriotic, https://t.co/TW48geYPMm #NoRefugees.#NoIlegals.Defund PlannedParenthood.
Defund Refugee resettlement pro",@GOPChairwoman  https://t.co/kU3VOk2huc,peinadojair1,jair peinado,501,501,0,51441,770,5576,33640,False,0,False,0
Sun Mar 11 14:04:45 +0000 2018,828037499062718465,972835725325602816,qme,"born New Jersey live Miami, FL","America first, veterans first. Patriotic, https://t.co/TW48geYPMm #NoRefugees.#NoIlegals.Defund PlannedParenthood.
Defund Refugee resettlement pro",@GOPChairwoman  https://t.co/swW1nN2PBO,peinadojair1,jair peinado,501,501,0,51441,770,5576,33640,False,0,False,0
Sun Mar 11 15:30:50 +0000 2018,121999223,972857384891813888,en,"Hudson Valley, NY",Father. Air Force Veteran. Fantasy Footballer. Infamous bagholder. Italian American. Space Force CMNDR #DFS #jynco9 #TRUMP #GME,@GOPChairwoman Do not let those ppl win and hijak the agenda. We will be doooomed.,__CAPO__NY,Joseph Staropoli,342,342,0,10508,3086,98,10738,False,0,False,0
Sun Mar 11 15:53:41 +0000 2018,23972639,972863136402350082,qme,"California, USA",,@GOPChairwoman  https://t.co/nWZ2fvDNQ2,Sam_anthas,Samantha  '_',272,272,0,52226,986,3063,41026,False,0,False,0
Sun Mar 11 20:41:42 +0000 2018,2345831796,972935617045676032,qme,Yhdysvallat,I'm a granddaughter of a #RosieTheRiveter that welded ships in San Francisco for #WWII,@GOPChairwoman #ThankYouPresTrump,USASMNR,U🇺🇸S🇺🇸A!,559,559,0,58868,905,28433,69254,False,0,False,0
Sun Mar 11 12:20:12 +0000 2018,37429421,972809411545706496,en,Michigan,,@GOPChairwoman Making “Porn Great Again” Trump/Stormy https://t.co/50NjkzlLh6,zenithguy,Jim Otto,379,379,0,84032,2671,74510,118653,False,0,False,0
Sun Mar 11 19:57:26 +0000 2018,724752040057028608,972924479826485250,en,,"🇺🇸God Bless America🇺🇸Never Forget Benghazi🇺🇸Afghanistan13✝️All Glory to God🕊Wife, Mom💞RN❤️Homeschool🇺🇸Trump2024🇺🇸MAGA🇺🇸AmericaFirst","Small, Independent Business Drives The Economy

🇺🇸VOTE RICK SACCONE FOR CONGRESS🇺🇸

Endorsed By National Federation Of Independent Business (NFIB)

🇺🇸Special Election, Tuesday, March 13🇺🇸

#StickWithRick♦️#CloseTheDeal♦️Keep #PA18 RED♦️ https://t.co/UrQi1XX5Va",LiteracyJourney,The Only Choice - Trump 2024,17718,17718,0,168952,9882,20169,201209,False,146,False,150
Mon Mar 12 02:27:47 +0000 2018,724752040057028608,973022713412489217,qme,,"🇺🇸God Bless America🇺🇸Never Forget Benghazi🇺🇸Afghanistan13✝️All Glory to God🕊Wife, Mom💞RN❤️Homeschool🇺🇸Trump2024🇺🇸MAGA🇺🇸AmericaFirst",#KeepAmericaGreat https://t.co/DdzqcA75bA,LiteracyJourney,The Only Choice - Trump 2024,17718,17718,0,168952,9882,20169,201209,False,8,False,10
Sun Mar 11 22:04:39 +0000 2018,326386683,972956493690662913,fr,"Newport, MI ","mother,wife, grandma,and great grandma,also mom too one fur baby pom pom Coco,and oh yes I'm a patriot,love my country,and President Trump",@BigLeague2020 @LaunaSallai Vote Republican,debbmiracle,debbie miracle,940,940,0,13891,1782,41,11326,False,1,False,1
Tue Mar 13 01:47:15 +0000 2018,744692585193684993,973374902274330629,en,"Boston, MA","#MAGA #PATRIOT #CONSERVATIVE  #ProudDeplorable, #NRAmember, #AKATammyBright, Fighting for President Trump every day. Mass. for Trump. Married military mom.",@BigLeague2020 Crumbs? Bonuses tied to Trump tax cuts said to boost U.S. incomes by $30 billion,ReneeMHensley1,Deplorable Renee,2754,2754,0,79690,3311,7446,31447,False,0,False,0
Tue Mar 13 01:01:39 +0000 2018,874102244,973363426071216130,en,thehoroscopeoftheusa@gmail.com,#Astrology #ViaCombusta #AstroGems #VoidMoon #MercuryRetrograde #VenusRetrograde PLAY #AstroTrivia #MedicalAstrology #SaturnReturn #OccultMathematics,"June 28, 2012- @USSupremeCourt decides National Federation of Independent Business v. Sebelius #VenusRetrograde https://t.co/l03ThvFaLg",HoroscopeOfUSA,AstrologyNewsNetwork,13623,13623,0,15593,12984,167382,339305,False,0,False,0
Tue Mar 13 12:29:51 +0000 2018,29763551,973536614898110464,en,Paradise,Your value does not decrease based on someone's inability to see your worth. —Professor Richard Feynman,"US Small Biz Driving Growth: Confidence among small business owners approached record-setting heights in February, according to the National Federation of Independent Business (NFIB), whose monthly Small Business Optimism Index rose 0.7 points from January's level to 107.6,",melchigr,GM,995,995,0,1121,5001,1033,23181,False,0,False,0
Tue Mar 13 12:29:51 +0000 2018,29763551,973536616164872192,en,Paradise,Your value does not decrease based on someone's inability to see your worth. —Professor Richard Feynman,"2nd highest level in 45yr history of index &amp; just shy of 1983 record high of 108 Leading monthly index higher to beat consensus estimates were expectations of higher retail sales, up 3 points to a net 28% and a 2-point gain to a net 43% in expectations that economy will improve.",melchigr,GM,995,995,0,1121,5001,1033,23181,False,0,False,0
Tue Mar 13 15:00:47 +0000 2018,39310714,973574600578695170,en,,A modern-day connector that utilizes an innovative and scalable marketing platform in financial media with over 100 sites within our publisher group.,"Small Business Optimism Index Increased in February, ""Difficulty of finding qualified workers"" is Top Problem - From the National Federation of Independent Business (NFIB): February 2018 Report: Small Business Op https://t.co/EKLtwRYyAT",InvestChannel,InvestingChannel,1452,1452,0,58,532,2030,9350,False,0,False,0
Tue Mar 13 15:00:58 +0000 2018,836531356645609472,973574645956870144,en,Englanti,Our business strives to assist the companies as well as individuals who want to make most of the web https://t.co/d5HoiwYTSJ,"News Update Small Business Optimism Index Increased in February, ""Difficulty of finding qualified workers"" is Top Problem - From the National Federation of Independent Business (NFIB): February 2018 Report: Small Business Op https://t.co/3yrflTwq3J",MTAltaf,M Tahir Altaf,125,125,0,2,426,2,1282,False,0,False,0
Wed Mar 14 14:34:12 +0000 2018,1884053899,973930299045306368,en,,,On Tuesday a survey released by the National Federation of Independent Business showed small-business owners’ plans for capital spending were unchanged in February.,janethe_fox,Jane Fox,445,445,0,1982,346,489,9789,False,1,False,2
Thu Mar 15 02:06:19 +0000 2018,104713697,974104473168695296,en,"Pennsylvania, USA","National public service for legislative tracking and data API; both free and subscription offerings with advanced monitoring, research, and reporting tools.","HR704 [Passed] Commemorating the 75th anniversary of the National Federation of Independent Business on May 20, 2... https://t.co/2VrvgBepqj",LegiScanPA,LegiScan PA,500,500,0,0,1,0,87832,False,0,False,0
Thu Mar 15 02:30:00 +0000 2018,30239668,974110437213171712,en,"Hagerstown, MD","The Herald-Mail Company, serving readers in Washington County, Md., the Eastern Panhandle of W.Va., and southcentral Pa.","Raising Maryland's minimum wage to $15 would cost nearly 100,000 jobs and hurt small enterprises, according to Mike O'Halloran, state director of the National Federation of Independent Business.
https://t.co/dotmyINMuy",HeraldMailNews,Herald-Mail Media,9685,9685,0,47,304,6073,40369,False,0,False,0
Fri May 05 15:00:11 +0000 2023,30239668,1654501248614236162,en,"Hagerstown, MD","The Herald-Mail Company, serving readers in Washington County, Md., the Eastern Panhandle of W.Va., and southcentral Pa.","Many restaurants offer deals on Cinco de Mayo, which commemorates Mexico’s victory over France in the Battle of Puebla in 1862. https://t.co/7gV7PVIodx",HeraldMailNews,Herald-Mail Media,9685,9685,0,47,304,6073,40369,False,0,False,0
Thu Mar 15 15:42:31 +0000 2018,65652389,974309878926905345,en,"Lansing, MI","NFIB is a member-driven organization advocating for small and independent businesses in Washington, D.C. & all 50 states. We are the voice of small business.","“Yesterday, the National Federation of Independent Business released results from a new survey that found that for the first time since 2006, taxes received the fewest votes as the number one business problem for small businesses..."" #smallbiz https://t.co/pB1rvJ97n2",nfib_mi,NFIB Michigan,208,208,0,16,14,419,1199,False,1,False,2
Thu Mar 15 22:22:04 +0000 2018,2225087292,974410428171280384,en,Bakersfield,Jobs Bakersfield - https://t.co/GG3L2aQOUZ,"Outside Sales Representative - National Federation of Independent Business (NFIB) - Bakersfield, CA https://t.co/zXu4Z5wk9b Jobs Bakersfield",JobsBakersfiel1,Jobs Bakersfield,258,258,0,0,265,660,26237,False,0,False,0
Wed Mar 21 01:02:04 +0000 2018,81207735,976262632725516288,en,"Marietta, Ohio","Air Force veteran, husband, father, grandfather and concerned American working to stop Washington from hurting working families. Congressman (OH-6).","Earlier this month, I received the endorsement of the NFIB (National Federation of Independent Business). I am humbled and proud to be your small business advocate in Washington. I thank the NFIB for what they do, and I will continue to fight for pro-growth business policies!",JohnsonLeads,Bill Johnson,4460,4460,0,57,1093,352,1771,False,0,False,0
Wed Mar 21 16:37:23 +0000 2018,65652389,976498012242563072,en,"Lansing, MI","NFIB is a member-driven organization advocating for small and independent businesses in Washington, D.C. & all 50 states. We are the voice of small business.",“We have seen a real turnaround in the outlook for regulation in the U.S. as it relates to smaller businesses. The National Federation of Independent Business in the U.S. is pretty optimistic...” #smallbiz https://t.co/w92JNFcTqZ,nfib_mi,NFIB Michigan,208,208,0,16,14,419,1199,False,0,False,0
Wed Mar 21 20:51:44 +0000 2018,69086398,976562022262431744,en,"Montgomery, AL",Former Republican Congressman from Alabama's 2nd District,I'm so honored to announce that the National Federation of Independent Business (NFIB) Fed PAC has endorsed my campaign for reelection in AL02! I am proud to work alongside NFIB to advance policies that strengthen small businesses - not hurt them. https://t.co/FJj3dpSxpF,TeamRoby,Martha Roby,2564,2564,0,13,464,263,1202,False,0,False,3
Mon Mar 26 16:20:53 +0000 2018,224304656,978305801944154112,en,North Carolina,"MBE Magazine serves as a forum for minority & women business owners, corporations & government agencies concerned with minority & women business enterprise.","US Small business optimism has reached its highest level since 1983, according to the National Federation of Independent Business. Read more: https://t.co/HTQvyFGTY3 #business #smallbusiness",MBEmag,MBE Magazine,7061,7061,0,4861,3828,1843,17337,False,1,False,2
Mon Mar 26 20:13:26 +0000 2018,65445913,978364325453643776,en,"Denver, CO","NFIB is a member-driven organization advocating for small and independent businesses in Washington, D.C. & all 50 states. We are the voice of small business.",Small business thanks @GovofCO for proclaiming March 29 National Federation of Independent Business Day in Colorado and for his kind words on our 75th anniversary year. https://t.co/lpCcrKSnvs https://t.co/JyB0eyJGEK,nfib_co,NFIB Colorado,306,306,0,8,22,342,636,False,6,False,9
Tue Mar 27 14:45:11 +0000 2018,419286618,978644105281581056,en,"Des Moines, IA","ITA is Iowa’s leading business tax policy resource. Our mission is to educate, inform & advocate for sound fiscal policy. RTs do not constitute endorsements.","Learn about National Federation of Independent Business (NFIB) and why they are an ITA member.
https://t.co/cJek2OuMUW https://t.co/qe89iKhJVe",IowaTaxpayers,ITA,685,685,0,47,401,635,2371,False,0,False,0
Tue Mar 27 16:17:59 +0000 2018,65652389,978667458260357120,en,"Lansing, MI","NFIB is a member-driven organization advocating for small and independent businesses in Washington, D.C. & all 50 states. We are the voice of small business.","""Tighter labor markets could push average hourly earnings increases up to 3.35% from 2.5% according to the National Federation of Independent Business (NFIB)."" #smallbiz #smallbusiness https://t.co/bojKv2WIB9",nfib_mi,NFIB Michigan,208,208,0,16,14,419,1199,False,0,False,0
Wed Mar 28 14:13:56 +0000 2018,2467791,978998628537823233,en,"Washington, DC",Democracy Dies in Darkness,"A California sheriff is skirting state ""sanctuary"" laws to help ICE capture undocumented immigrants https://t.co/zS41rhTWS7",washingtonpost,The Washington Post,20049113,20049113,0,4071,1703,18789,461519,False,57,False,72
Wed Mar 28 14:34:12 +0000 2018,1228833504,979003727058149377,en,by the sea,BLACK LIVES MATTER,"@readbuk48 @washingtonpost Hey there, constitutional scholar! You understand that the federal government can’t require states to enforce federal law, right? The federal government can provide funding to induce states to help the feds, but the feds can’t require it. Nor can the federal gov threaten existing",wondrlost,🇺🇦🌻I could be anybody,247,247,0,89238,751,2920,28396,False,0,False,0
Wed Mar 28 14:38:21 +0000 2018,1228833504,979004774707167234,en,by the sea,BLACK LIVES MATTER,"@readbuk48 @washingtonpost Funding if states don’t assist (National Federation of Independent Business v. Sebelius). California gives feds access to prison records so that feds may check the immigration status of inmates (so there’s no impediment), but CA doesn’t affirmatively check immigration status",wondrlost,🇺🇦🌻I could be anybody,247,247,0,89238,751,2920,28396,False,0,False,0
Wed Mar 28 14:39:05 +0000 2018,1228833504,979004956773511168,en,by the sea,BLACK LIVES MATTER,@readbuk48 @washingtonpost And report to feds. Requiring states to do this would be unconstitutional.,wondrlost,🇺🇦🌻I could be anybody,247,247,0,89238,751,2920,28396,False,0,False,0
Thu Mar 29 14:37:53 +0000 2018,65652389,979367042972356608,en,"Lansing, MI","NFIB is a member-driven organization advocating for small and independent businesses in Washington, D.C. & all 50 states. We are the voice of small business.","""Nearly two thirds of small business owners surveyed by the National Federation of Independent Business said they need to delegate more responsibilities to improve productivity."" #smallbiz #smallbusiness https://t.co/wVToahKibZ",nfib_mi,NFIB Michigan,208,208,0,16,14,419,1199,False,0,False,0
Sun Apr 01 00:56:09 +0000 2018,104723174,980247411259002882,en,"Louisiana, USA","National public service for legislative tracking and data API; both free and subscription offerings with advanced monitoring, research, and reporting tools.","HR43 [Passed] Recognizes March 28, 2018, as National Federation of Independent Business/Louisiana Small Business... https://t.co/JQjS0HNYoA",LegiScanLA,LegiScan LA,247,247,0,0,1,0,90771,False,1,False,0
Tue Apr 03 17:59:21 +0000 2018,245689692,981229682292133889,en,Massachusetts,"First they came for the transgender kids, and I did not speak out—because I am not transgender.  Then they came for the bisexuals, the gays, and the lesbians,",Do you remember the Obamacare lawsuit that went to the Supreme Court of the United States? Our story starts w/the 2012 ruling of National Federation of Independent Business #NFIB v. Sebelius upheld the constitutionality of the Affordable Care Act https://t.co/MV47EzImeA #mapoli https://t.co/cvxpsq4H2v,RWwatchMA,Trump's election fraud hoax undermines democracy,9970,9970,0,51326,7206,59967,393922,False,1,False,0
Tue Apr 03 18:09:35 +0000 2018,245689692,981232258395901953,en,Massachusetts,"First they came for the transgender kids, and I did not speak out—because I am not transgender.  Then they came for the bisexuals, the gays, and the lesbians,","NFIB opposed Obama’s appointment of Merrick Garland.

NFIB supported Neil Gorsuch—famous for his cruel ruling in the ‘frozen trucker’ case
 
NFIB was plaintiff in cases against EPA.

In a 2015 case on union elections, NFIB fought to give businesses time to bust unions. #mapoli",RWwatchMA,Trump's election fraud hoax undermines democracy,9970,9970,0,51326,7206,59967,393922,False,0,False,0
Sun May 07 20:50:33 +0000 2023,245689692,1655314196718837762,en,Massachusetts,"First they came for the transgender kids, and I did not speak out—because I am not transgender.  Then they came for the bisexuals, the gays, and the lesbians,","Firework https://t.co/iMGuTI7oNf 🎶Katy Perry 

#CoronationConcert https://t.co/t5g8BLFNpL",RWwatchMA,Trump's election fraud hoax undermines democracy,9970,9970,0,51326,7206,59967,393922,False,0,False,2
Tue Apr 03 20:45:53 +0000 2018,37933653,981271590884331520,en,,Market Intelligence for the Title Insurance Industry - Receive Free Email Updates or a Free Edition at https://t.co/SN1y0S3q3j!,"Small-business owners more confident about economy - https://t.co/6bCOqg90K2 - Confidence concerning the nation’s business environment continued to rise among small-business owners in February, according to a survey from the National Federation of Independent Business.",TheTitleReport,The Title Report,5953,5953,0,381,2220,1169,16711,False,2,False,2
Wed Apr 04 13:45:08 +0000 2018,224679747,981528097391595521,en,"Dallas, TX","Based in Dallas, TX, w.w. Cannon, Inc. provides cost-effective material handling, packaging and storage strategies that serve clients throughout the country.","Hot Off The Press: Greg Brown, president and owner of W.W. Cannon, Inc., has been selected to chair the National Federation of Independent Business (NFIB) Texas Leadership Council. https://t.co/0oXrT5x6l1 https://t.co/VGX5duLvxp",wwCannonTX,"W.W. Cannon, LLC",212,212,0,31,128,406,6256,False,1,False,2
Thu Apr 05 18:09:22 +0000 2018,11134252,981956978263121920,en,,Text FREEDOM to 80810 to receive exclusive updates from the Republican National Committee!,The chief economist for @NFIB said their latest employment survey was “one of the best readings in survey history.” Americans are getting the jobs @realDonaldTrump promised.,GOP,GOP,3316011,3316011,0,354,1701,14050,53734,False,118,False,413
Thu Apr 05 19:27:41 +0000 2018,835954211984670721,981976688237178882,en,,,@Bennythesnitch @GOP @NFIB @realDonaldTrump Thank you. Someone else who actually researched them.,willkeepfightin,Christine,96,96,0,4345,212,25,1468,False,0,False,0
Thu Apr 05 18:09:22 +0000 2018,11134252,981956978263121920,en,,Text FREEDOM to 80810 to receive exclusive updates from the Republican National Committee!,The chief economist for @NFIB said their latest employment survey was “one of the best readings in survey history.” Americans are getting the jobs @realDonaldTrump promised.,GOP,GOP,3316003,3316003,0,354,1701,14050,53734,False,118,False,411
